,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
119,ahan1243,Ahanta,Western Africa,not endangered,5,142000,458.1044966,basic,570.441696
120,axam1237,Axamb,Oceania,shifting,6a,750,89.87677985,little or none,82.59505168
121,qima1242,Qimant,Africa,shifting,8b,1650,13.35656793,detailed,1208.70613
122,aghu1255,Aghu,South-Eastern Asia,threatened,6b,3000,535.2580167,detailed,2856.224917
123,tiag1235,Tiagbamrin Aizi,Western Africa,not endangered,6a,9000,70.40636013,basic,156.4448446
124,akha1245,Akha,Asia,not endangered,3,563960,19092.47927,detailed,11525.64081
125,igoo1238,Igo,Western Africa,shifting,5,6000,42.19671393,detailed,88.38544923
126,mobu1235,Mobumrin Aizi,Western Africa,threatened,6a,2000,2.240670396,detailed,14.52879062
127,ahan1244,Àhàn,Western Africa,shifting,6a,300,0.886886998,detailed,180.0434748
128,ahom1240,Ahom,Southern Asia,extinct,9,0,0.0,detailed,215.9917817
129,apro1235,Aproumu Aizi,Western Africa,threatened,6a,6500,13.53988188,little or none,320.4309862
130,ashe1269,Ashe,Western Africa,not endangered,6a,40000,130.2151319,basic,448.5252525
131,ahte1237,Ahtena,Northern America,nearly extinct,8a,80,70404.26119,basic,12864.44667
132,aros1241,Arosi,Oceania,not endangered,5,6750,505.4952629,basic,545.1504218
