family_id_x,name,latitude,longitude
bert1248,Berta,10.6474,34.7042
yura1255,Yuracaré,-16.7479,-65.1224
nort2933,North Bougainville,-5.94726,154.98816666666667
kama1371,Kamakanan,-16.146914083333332,-41.00887381666666
basq1248,Basque,43.2787,-1.31622
wadj1254,Wadjiginy,-12.8596,130.737
mail1249,Mailuan,-10.165864153474685,148.98817241686146
mata1289,Matacoan,-23.2972875,-61.1590125
maid1262,Maiduan,39.37643333333333,-120.802
huit1251,Huitotoan,-1.4693629999999998,-71.99425116666667
skoo1245,Sko,-2.844848708333333,141.46114733333332
nort1442,North-Eastern Tasmanian,-41.442114,147.497801
siou1252,Siouan,38.82881041666667,-88.14263425
arut1244,Arutani,4.0673594,-62.8676118
kxaa1236,Kxa,-21.94645887834424,21.840852681303208
sign1238,Sign Language,,
iwai1246,Iwaidjan Proper,-11.674183333333332,132.85716666666667
iran1263,Irántxe-Münkü,-12.7178,-57.9806
suki1244,Suki-Gogodala,-8.06909625,142.24824999999998
pomo1273,Pomoan,38.97407375000001,-122.65441375
kari1254,Kariri,-7.434628,-40.487275
yeni1252,Yeniseian,59.345725,90.948625
kore1284,Koreanic,35.46025,126.7677
barb1265,Barbacoan,0.725735,-78.13742566666667
sena1264,Senagi,-3.619894999999999,141.073
pawa1255,Pawaia,-6.88021,145.081
mixe1287,Mixed Language,,
pira1253,Pirahã,-6.77713,-61.8167
bord1247,Border,-3.0810752942057174,141.03152043306235
hurr1239,Hurro-Urartian,39.61695,43.32895
monu1249,Bogia,-4.313245,144.97
huar1251,Huarpean,-32.639114,-67.8332525
kera1258,Keram,-4.32384375,144.07700000000003
east1459,East Bird's Head,-1.4485975,133.66575
atha1245,Athabaskan-Eyak-Tlingit,57.82099850426536,-134.9693375603793
kres1240,Kresh-Aja,8.8984925,25.2061
kaku1242,Kakua-Nukak,1.7735850000000002,-70.5144
tuca1253,Tucanoan,0.1327077361111111,-71.5222265324074
dama1272,Damal,-4.17345,137.496
bayo1259,Bayono-Awbono,-5.138014999999999,139.6705
otom1299,Otomanguean,17.108063880064172,-95.903082972944
cahu1265,Cahuapanan,-5.520405,-76.61775
piaw1238,Piawi,-5.110729999999999,144.23725000000002
sali1253,Salinan,37.6646,-121.718
east2503,Eastern Trans-Fly,-9.06340911299992,143.1562606130001
nucl1580,Eleman,-7.890075833333332,145.7355
east2433,East Strickland,-6.054617392499219,142.2612639810095
gunw1250,Gunwinyguan,-13.163844167899502,133.84418283948492
heib1242,Heibanic,10.948239444444445,30.91753805555556
kwom1263,Kwomtari-Nai,-3.61876,141.38049999999998
yuka1259,Yukaghir,67.74792900000001,160.65967500000002
pidg1258,Pidgin,,
chon1288,Chonan,-49.866789,-68.12787225
siam1242,Siamou,10.998,-4.92143
kaur1274,Kaure-Kosare,-3.58968,140.1685
sout2845,South Omotic,5.90174625,36.40803875
geel1240,Geelvink Bay,-2.487585669600993,136.88621790561166
kiwa1251,Kiwaian,-7.957872170863979,143.85166860272818
baib1250,Baibai-Fas,-3.2677,141.4925
katu1274,Katukinan,-6.852069999999999,-66.79984999999999
sout2772,Southern Daly,-14.50826,130.46926
pano1259,Pano-Tacanan,-9.775506590890894,-69.0242276211961
nubi1251,Nubian,17.908792074263246,29.90375360897506
yano1268,Yanomamic,2.924275916666667,-63.23826458333334
ando1256,Andoque,-0.53751,-72.0869
nivk1234,Nivkh,52.1857,141.9219
guam1236,Guamo,8.2351027,-67.4018753
bula1259,Bulaka River,-7.71737,139.24349999999998
uncl1493,Unclassifiable,,
west2604,West Bomberai,-3.231866143999923,132.60222415500004
hara1260,Harakmbut,-12.906305,-70.890395
yele1255,Yele,-11.3796,154.127
mani1293,Maningrida,-12.268238636312484,134.22255756716663
timo1237,Timote-Cuica,8.848165,-70.975342
yare1250,Yareban,-9.526500833333332,148.41375
nucl1709,Nuclear Trans New Guinea,-5.620141576195564,142.83349266568874
aust1307,Austronesian,18.12555332428153,121.33504738058596
koia1260,Koiarian,-9.178350833333331,147.78007916666667
tall1235,Tallán,-5.330824,-80.651093
manu1261,Manubaran,-9.748345,148.1445
east2374,Eastern Daly,-13.7436,130.849
tara1323,Tarascan,19.39295,-101.8925
yawa1259,Yawa-Saweru,-1.843345,136.27949999999998
naml1239,Namla-Tofanma,-3.66161,140.6255
more1255,Yam,-8.585425600960907,141.11212050426113
tebe1251,Teberan,-6.76043,144.4845
hata1242,Hatam-Mansim,-1.025182,134.024058
ural1272,Uralic,59.06037711558321,44.77233536044734
sepi1257,Sepik,-4.051444534429929,142.19487024611354
west2434,Western Daly,-13.782544587526791,130.15187409923834
maba1274,Maban,13.081883833333332,20.870880916666664
haid1248,Haida,53.63306599999999,-132.0436285
kwer1242,Greater Kwerba,-1.969927836083572,138.42556460133818
nada1235,Naduhup,-0.5473300000000001,-67.43222499999999
lepk1239,Lepki-Murkim-Kembra,-4.0240100000000005,140.60366666666667
yuki1242,Yuki-Wappo,39.04445,-122.898
nilo1247,Nilotic,3.038139515353852,33.47151992925147
dizo1235,Dizoid,6.690913333333333,35.74673333333334
inan1242,Inanwatan,-1.520928643999923,131.62875410200002
toto1251,Totonacan,20.474722916666664,-97.66139791666669
atla1278,Atlantic-Congo,9.287213513888156,-8.223301099267937
quec1387,Quechuan,-10.37714086226852,-76.4638177507716
