glottocode,isocode
apur1254,apu
aput1237,apx
arab1267,ard
arab1268,arl
araf1243,arf
arag1245,arg
arak1252,akr
arak1254,rkw
arak1256,mhv
aral1243,atq
aram1252,aam
aram1253,stk
aran1237,jbj
aran1261,aaf
aran1265,xrt
arao1248,aro
arap1274,arp
arap1275,arj
araw1272,awm
araw1273,awt
araw1276,arw
arbe1236,aae
arbo1245,arv
arch1244,aqc
area1240,alu
areb1238,aea
aree1239,mwc
arem1240,aem
areq1237,qxu
arge1236,aed
argo1244,agj
argu1237,agf
arha1237,aqr
arho1237,aok
arhu1242,arh
arib1240,ylu
arib1241,laz
arif1239,aai
arig1246,aqg
arii1243,aac
arik1262,ari
arik1264,ait
arik1265,ark
arin1243,xrn
arin1244,luc
arit1239,rrt
arma1244,aoh
arme1259,aen
arom1237,rup
arop1242,aps
arop1243,apr
aros1241,aia
arta1239,atz
arua1260,msy
arua1261,arx
arua1263,aru
arue1240,aur
aruo1240,lsr
arut1244,atx
arva1236,aat
asar1240,mtv
asas1240,asd
asha1243,cni
ashe1269,ahs
ashe1272,prq
ashe1273,cjo
ashk1246,ask
asho1236,csh
asht1244,atn
asil1242,asl
asko1238,eiv
asoa1238,asv
assa1263,asm
assa1266,xss
assa1269,sjg
assi1247,asb
asss1237,asz
assy1241,aii
astu1245,ast
asue1235,psa
asum1237,aua
asun1235,aum
asun1236,zoo
asur1254,asr
asut1235,asa
ataa1240,atm
atak1252,aqp
atam1239,amz
atam1240,atd
atat1238,mib
atay1247,tay
atem1241,ate
athp1241,aph
atii1237,atk
atik1240,atj
atoh1238,aqm
aton1241,aot
aton1242,ato
ator1244,aox
atsa1241,cch
atsa1242,atc
atsu1245,atw
atta1243,pkr
atti1239,ati
atue1238,atf
atzi1235,ocu
auhe1237,kud
aulu1238,aul
aura1243,aux
aush1241,auh
aush1242,avs
aust1252,asq
aust1253,asw
aust1271,asf
aust1304,aut
auuu1241,avt
auve1240,auv
auwe1239,smf
auye1238,auu
auyo1240,auo
avac1239,avv
avar1256,ava
avat1244,avn
avau1237,avb
aves1237,ave
avik1243,avi
avok1242,avu
awab1243,awk
awac1238,vwa
awac1239,kwi
awad1243,awa
awad1244,bcu
awak1250,awo
awap1236,awb
awar1248,awx
awar1249,aya
awbo1238,awh
awee1242,bob
awer1241,awr
awet1244,awe
awin1248,azo
awiy1238,auy
awji1241,auj
awng1244,awn
awng1245,gwm
awtu1239,kmn
awun1245,aww
awut1241,afu
awuu1235,yiu
awyi1241,auw
axam1237,ahb
axiy1235,yix
ayab1239,ayd
ayac1239,quy
ayau1235,vmy
ayer1245,aye
ayer1246,axe
ayic1234,ayx
ayip1235,ayq
ayiw1239,nfl
ayiz1244,yyz
ayiz1245,ayb
ayoq1235,zaf
ayor1240,ayo
ayut1236,miy
ayuu1242,ayu
azha1235,aza
azhe1235,yiz
azoy1236,tpc
baan1241,bvj
baan1242,bqx
baat1238,bba
baba1263,bbm
baba1264,bbw
baba1266,bbk
baba1267,mbf
baba1268,baa
baba1273,bbz
babi1235,bcr
babu1240,bzg
baca1243,btj
baca1246,bcy
bact1239,xbc
bada1257,bfq
bada1258,bau
bada1261,bhz
bade1240,bdz
bade1248,bde
badi1246,bia
badi1247,khd
badj1244,jbi
badu1237,bac
bady1239,pbp
baeg1237,bvd
bael1237,bvc
baet1237,btr
bafa1247,bwt
bafa1249,bfj
bafi1243,ksf
bafu1246,bfd
baga1270,bmd
baga1271,bqf
baga1272,bsp
baga1273,bgo
baga1274,bsv
baga1275,bcg
baga1276,bgm
bagh1251,bfy
bagi1244,fui
bagi1246,bmi
bago1245,bqg
bagr1243,bgq
bagu1251,bqb
bagu1252,bpi
bagv1239,kva
baha1256,yha
baha1257,bhv
baha1258,bdw
baha1259,abv
baha1260,bah
baha1262,bwv
bahi1252,bhj
bahi1254,bjh
bahn1262,bdq
baho1237,bsu
baib1251,bbf
baii1251,bdj
baik1238,bkx
baim1244,bqh
baim1245,bmx
bain1259,bab
bain1260,bcb
bain1261,bcz
bais1242,fah
bais1246,bsw
baja1265,bjs
baje1238,bjm
bajj1234,vjk
baka1272,bkc
baka1273,bqz
baka1274,bdh
baka1277,bkq
bakh1245,bqi
baki1244,bki
bako1249,bkh
bako1250,kme
bakp1238,bbs
baku1263,bkr
baku1265,boc
bakw1243,bjw
bala1301,ble
bala1302,bjt
bala1306,blg
bala1310,blw
bala1311,sse
bala1314,bls
bala1315,blz
bald1241,bdn
bali1245,bcn
bali1274,bcp
bali1278,ban
bali1279,mhp
balk1252,rmn
balk1254,bgx
balo1261,biz
balo1264,bqo
balt1257,rml
balt1258,bft
balu1257,blq
bama1249,bog
bama1251,bbq
bamb1262,myf
bamb1265,bmo
bamb1266,baw
bamb1269,bam
bamb1270,ptu
bame1260,bce
bamu1253,bax
bamu1254,bqt
bamu1256,bvm
bamu1257,bcf
bamw1238,bmg
bana1288,bjx
bana1292,byz
bana1305,bcw
bana1306,bnh
band1337,bjd
band1340,bqj
band1342,bqk
band1343,bpd
band1344,liy
band1345,bfl
band1348,yaj
band1352,bza
band1353,bpq
band1355,bnd
bang1339,bjb
bang1345,bbe
bang1347,bgf
bang1348,bsj
bang1350,bnx
bang1353,bxg
bang1354,bni
bang1356,bgj
bang1363,dba
bang1365,mfb
bang1368,bgz
bani1254,bvv
bani1255,bwi
banj1239,bjn
bank1251,bfk
bank1256,abb
bank1257,jjr
bank1258,bxw
bank1259,dbw
bann1247,bcm
bant1281,bap
bant1286,bnq
bant1288,bno
bant1293,bfx
baou1238,bci
bara1357,brd
bara1361,brm
bara1362,bbg
bara1367,baj
bara1369,bhr
bara1370,kys
bara1371,brs
bara1375,brp
bara1378,bmz
bara1380,bsn
bara1404,rbp
barb1242,bpb
barb1263,boi
barc1235,gry
bard1255,bcj
bare1276,bae
bare1279,bva
barg1252,mlp
bari1241,bxo
bari1284,bfa
bari1286,bch
bari1290,bjc
bari1297,mot
bari1298,jbk
baro1252,bbi
baro1253,bjk
barr1247,bpt
barr1251,tbn
baru1267,byr
baru1269,bjz
barw1243,bwg
barz1241,bjf
basa1280,bsl
basa1281,buj
basa1282,bzw
basa1284,bas
basa1286,bdb
basa1287,byq
bash1263,bsg
bash1264,bak
bask1236,bst
basq1248,eus
basq1249,bqe
bass1258,bsc
bass1259,bsr
bass1260,bsi
bata1285,bnm
bata1288,bts
bata1289,bbc
bata1290,akb
bata1291,btm
bata1292,btz
bata1293,btx
bata1294,btd
bata1297,ayt
bata1298,ifb
bata1301,bya
bata1314,bta
bate1261,btv
bate1262,btq
bath1244,bhm
bati1251,btc
bati1253,bvt
bats1242,bbl
batu1255,btu
batu1258,bay
batu1260,zbt
baty1234,xby
baub1235,sne
bauc1238,bsf
baur1251,bge
baur1252,bxa
baur1253,brg
bauu1244,bbd
bauw1240,bwk
bauz1241,bvz
bava1246,bar
bawm1236,bgr
baya1257,bjy
bayb1234,bvy
bayg1239,byg
baym1241,mkq
bayo1255,bda
bayo1260,byl
bayu1240,bxj
bazi1237,bfr
beam1240,beo
beav1236,bea
beba1238,bfp
bebe1248,beb
bebe1250,bzv
bebe1252,bek
bebi1242,bxp
bedi1235,tnr
bedj1245,bjv
bedo1237,bed
beek1238,bkf
beel1236,bxq
beem1239,beq
beez1238,bnz
befa1241,bby
begb1241,bqv
begi1237,ebc
beja1238,bej
beka1241,bei
bekw1241,bkv
bekw1242,bkw
bela1254,bel
bela1255,bvi
bela1256,bxb
bela1260,beg
belg1241,bvs
belh1239,byw
beli1257,blm
beli1258,bey
beli1260,bzj
bell1243,blc
bell1261,brw
beln1234,glb
bemb1255,bmb
bemb1257,bem
bemb1258,bmy
bena1260,yun
bena1262,bez
bena1264,bef
bena1274,egm
benc1235,bcq
bend1258,bdp
bend1260,bct
beng1239,bqy
beng1280,ben
beng1282,bng
beng1286,nhb
beng1287,bgy
beng1290,bke
benl1235,xpb
bent1237,bnu
bent1238,dbt
beny1237,byd
beot1247,bue
bepo1240,bie
bera1259,brf
bera1261,bxv
bera1262,bve
bera1264,lod
berb1259,brc
beri1253,bit
beri1254,bkl
bero1242,bom
bert1248,wti
bert1249,byt
besi1244,mhe
besm1235,bes
beso1237,bep
beta1252,bew
beta1253,bfe
bete1261,byf
bete1262,btt
beti1248,eot
beti1250,btb
bett1235,xub
bezh1248,kap
bhad1241,bhd
bhal1245,bhx
bhar1241,bha
bhat1237,btl
bhat1263,bht
bhat1265,bgw
bhay1238,bhe
bhel1238,bhy
bhil1251,bhb
bhil1253,bhi
bhoj1244,bho
bhot1235,nes
bhun1242,bhu
biaf1240,bif
biag1234,bdf
biak1248,bhw
bial1238,beh
bian1251,bpv
bian1252,big
biao1253,byk
biao1254,bje
biao1256,bmt
biat1246,bth
bibb1234,xbp
bidi1241,bid
bidy1243,bym
bidy1244,bjg
biem1237,bmc
bier1244,bnk
bier1246,brj
biet1238,biu
biga1237,xbe
biga1238,bhc
bign1238,nmb
biha1246,ibh
biji1246,jbm
bijo1238,bix
bika1251,bic
biky1238,byb
bila1253,kfs
bila1255,bip
bila1257,bql
bilb1241,brz
bilb1242,bpz
bile1244,bil
bili1260,byn
bilm1238,bms
bilo1248,bll
bilu1244,bxf
bilu1245,blb
bima1247,bhp
bimi1240,bhl
bimo1239,bim
bina1270,byj
bina1271,bmn
bina1275,bxz
bina1277,bhg
bine1240,bon
bini1246,bin
binj1249,bpj
bino1237,itb
bint1245,bne
bint1246,bny
binu1244,bkd
binu1245,bjr
bipi1237,biq
bira1253,bxe
bira1254,brr
birg1239,btf
birh1242,biy
biri1256,bzr
biri1259,bqq
birk1242,brk
birr1240,bvq
birr1241,xbj
birw1238,brl
bise1238,ije
bish1244,bpy
bish1246,bwh
bisi1244,bnw
bisl1239,bis
biso1243,bir
biss1248,bib
bisu1244,bzi
bisu1247,bii
bita1251,brt
bitt1240,bgk
bitu1242,mcc
biwa1243,bwm
biyo1243,byo
biyo1244,bpm
blab1237,blp
blaf1238,bfh
blag1240,beu
blan1242,blr
blis1239,zbl
boan1242,bzn
boan1243,bzl
bobo1254,bty
bobo1255,bgb
bodo1266,bdv
bodo1267,gbj
bodo1269,brx
bodo1272,boy
bofi1238,bff
boga1247,boq
boga1251,bvw
bogh1241,bux
bogu1241,bqu
boht1238,bhn
boik1241,bzf
bokh1237,ybk
boko1261,bdt
boko1263,bkp
boko1266,bqc
boko1267,bus
boky1238,bky
bola1249,bgl
bola1250,bnp
bola1252,bld
bolg1250,xbo
bolg1251,bvo
boli1236,bvl
boli1255,bli
boli1256,smk
bolo1261,blv
bolo1262,bkt
bolo1263,bzm
bolo1266,bof
bolo1268,blj
boly1239,ply
boma1246,boh
bomb1261,bml
bomb1262,bws
bomi1238,zmx
bomk1234,bmf
bomu1247,bmq
bomw1238,bmw
bona1250,peh
bond1245,bfw
bond1246,kzc
bond1247,bou
bond1248,dbu
bone1254,bna
bone1255,bnv
bong1282,glc
bong1284,bui
bong1285,bot
bong1287,bpg
bong1289,bdg
bong1291,bpu
bonj1234,bok
bonk1243,bvg
bonk1244,bop
bont1247,bnc
book1241,bnb
boon1242,bnl
boor1242,bvf
bopa1235,bpw
bora1263,boa
bora1271,gax
bord1248,kvn
bore1247,gai
borg1235,fue
bori1243,adi
born1252,bxx
boro1277,bwo
boro1279,ksr
boro1282,bor
boro1283,xxb
boru1244,mae
boru1252,brn
bose1237,bwf
bosn1245,bos
bosn1248,bqs
bote1238,bmj
botl1242,bph
boto1242,sbl
boun1243,nku
boun1245,mux
boun1246,suo
bouy1240,pcc
bowa1234,kxr
boza1238,bzo
brag1240,aof
brah1256,brh
braj1242,bra
braz1236,bzs
brek1238,kvl
brem1238,buq
brer1240,brq
bret1244,bre
brib1243,bzd
brib1244,rib
brit1235,bfi
brit1244,bzt
brok1247,bkk
brok1248,sgt
brok1249,bro
broo1238,bpl
broo1239,plw
brun1235,xpz
brun1242,kxd
brun1245,bsb
brun1247,rnb
buaa1245,bub
bual1235,cbl
buam1238,box
bube1242,bvb
bubi1249,bbx
bubi1250,buw
bude1236,stt
budi1249,btp
budo1241,bdx
budu1248,bdk
budu1250,buu
budu1265,bdm
budz1238,bja
buga1247,bbh
buga1250,buk
buga1251,bgh
bugh1239,bgt
bugi1244,bug
bugl1243,sab
bugu1246,bgg
buhi1243,ubl
buhi1245,bku
buhu1237,bxh
bujh1238,byh
buka1257,sdo
buka1261,bvk
bukh1238,bhh
buki1247,bvu
buki1248,bkn
buki1249,ape
buks1238,tkb
buku1249,bxk
bukw1238,buz
bulg1240,bqn
bulg1262,bul
bulg1265,bmp
buli1254,bwu
buli1255,bzq
buli1260,uly
bull1247,buy
bulo1242,sti
bulu1251,bum
bulu1253,bjl
buma1244,byp
buma1247,bvp
bumb1241,aon
bumm1238,bmv
bumt1240,kjz
buna1273,bwx
buna1275,bck
buna1276,bdd
buna1277,bvn
buna1278,bfn
bund1253,bns
bung1259,bqd
bung1264,xbg
bung1265,wun
bung1269,bkz
bung1270,but
bunn1240,buv
buno1241,dgb
bunu1267,bnn
buol1237,blf
bura1267,bvr
bura1269,bkg
bura1271,bys
bura1276,bti
bura1292,bwr
burd1238,bxn
bure1242,bvh
buri1258,bua
burj1242,bji
burm1262,pyx
burm1263,vrt
burm1264,bzu
burm1267,ntx
buru1296,bsk
buru1299,bqw
buru1301,bdi
buru1303,mhs
buru1304,bqr
buru1306,bmu
buru1307,aip
buru1308,asi
buru1309,bry
buru1320,bds
buru1325,lsb
busa1251,bxs
busa1253,bqp
busa1254,bsm
busa1255,bfg
bush1247,buf
bush1250,buc
buso1238,bup
buso1242,bso
buss1239,dox
busu1244,bju
butb1235,kyb
butm1237,bnr
butu1244,btw
buuu1244,jid
buwa1243,bhs
buxi1237,bxt
buya1244,byu
buya1245,byy
buyu1238,jiy
buyu1239,byi
bwaa1238,bww
bwai1242,bwd
bwan1241,tte
bwat1240,bwa
bwek1238,bwe
bwel1238,bwl
bwil1245,bwc
bwis1242,bwz
byan1241,bee
byep1241,mkk
caac1237,msq
cabe1245,cjp
cabi1241,cbb
caca1247,ccr
caca1250,miu
cacg1235,roc
cacu1241,cbv
cadd1256,cad
cafu1238,ccd
cagu1236,cbh
cahu1264,chl
cahu1268,cah
caja1238,qvc
caja1239,qvl
cajo1238,zad
caju1236,frc
caka1240,ckx
cakc1235,ckz
cakf1236,cky
cala1258,tbk
cald1236,qud
call1235,caw
calo1235,rmr
calo1236,rmq
calu1238,clu
cama1250,abd
camb1244,csx
came1252,mcu
came1254,wes
caml1239,rab
camp1261,sro
camp1262,cml
cams1241,kbh
camt1236,cmt
camu1235,xcc
cana1262,qxr
cand1248,cbu
cane1242,ram
cani1243,caz
caol1238,mlc
caom1238,cov
capa1241,kaq
capi1239,cps
capp1239,cpg
caqu1242,cot
cara1245,cby
cara1270,cfd
cara1271,crf
cara1272,cbc
cari1274,xcr
cari1275,hns
cari1276,jvn
cari1279,cbd
carn1240,caq
caro1242,cal
caro1243,crr
carp1235,rmc
carr1249,crx
caru1240,cru
cash1251,cbr
cash1254,cbs
casi1235,dgc
casu1237,asc
cata1241,csc
cata1284,mst
cata1286,chc
cauc1241,cca
cavi1250,cav
cayu1241,xcy
cayu1261,cay
cayu1262,cyb
ceba1235,sef
cebu1242,ceb
celt1247,xce
cemu1238,cam
cenn1238,cen
cent1394,hmm
cent1972,ckb
cent1973,pst
cent1989,khm
cent1990,ncb
cent1992,cmo
cent2004,bca
cent2009,zch
cent2013,hmc
cent2018,fuq
cent2041,grv
cent2045,cet
cent2050,knc
cent2053,pse
cent2058,mwo
cent2072,mxz
cent2074,ssq
cent2084,agt
cent2087,bcl
cent2089,syb
cent2090,tgt
cent2091,plc
cent2092,sml
cent2098,zbc
cent2100,dtp
cent2101,mel
cent2117,cns
cent2118,awu
cent2126,ryu
cent2127,esu
cent2128,ess
cent2131,tar
cent2132,nhn
cent2133,ncx
cent2134,nch
cent2136,ojc
cent2138,poo
cent2140,csm
cent2142,ayr
cent2144,maz
cent2145,pbs
cent2150,tuf
cent2194,tzm
cent2292,lbk
cerm1238,cme
chac1249,cbi
chac1250,quk
chac1251,cao
chad1238,cds
chad1240,cdy
chad1249,shu
chag1247,chg
chai1253,ciy
chak1265,ckm
chak1266,ccp
chak1270,ckh
chak1271,cli
chal1267,tgf
chal1269,cll
chal1275,cld
cham1307,cdh
cham1309,cji
cham1312,cha
cham1313,can
cham1315,ceg
cham1318,ccc
cham1329,cdg
chan1309,cna
chan1310,chx
chan1313,nbc
chan1319,cga
chan1322,caj
char1269,cra
chau1258,crv
chau1259,cdn
chau1262,ccq
chav1241,cbk
chay1248,cbt
chay1249,mih
chaz1235,xtb
chec1245,che
chee1238,ruk
chek1238,mrn
chen1255,cde
chen1259,cjn
chen1266,cnu
chen1271,nqq
chep1243,ycp
chep1245,cdm
cher1271,cpn
cher1273,chr
ches1238,ych
chet1237,ctc
chew1245,cwg
chey1247,chy
chha1249,hne
chhi1245,ctn
chhu1238,cur
chia1237,csd
chia1262,cip
chib1270,chb
chic1270,cic
chic1271,cob
chic1272,pei
chic1273,trs
chic1274,zpv
chig1238,cgg
chig1239,mii
chil1264,csg
chil1275,clh
chil1280,clc
chil1282,csa
chil1283,cqu
chim1300,zoh
chim1301,cid
chim1302,qug
chim1309,cbg
chim1310,xch
chin1253,cpi
chin1272,chn
chin1283,csl
chin1286,chh
chin1475,cih
chin1476,bxu
chin1478,cnb
chin1483,qxc
chip1236,cbe
chip1241,ciw
chip1261,chp
chip1262,cap
chiq1248,cax
chiq1249,qxa
chiq1250,maq
chir1283,cdf
chir1286,nhd
chit1248,ctm
chit1274,the
chit1275,ctg
chit1279,cik
chit1285,cit
choa1237,zpc
choc1275,cgk
choc1276,cho
choc1279,coz
chod1238,cdi
chok1243,nri
chok1245,cjk
chol1282,ctu
chol1284,cht
chol1285,cti
chon1284,cog
chon1285,cda
chon1287,coh
chop1243,cce
chor1273,caa
chor1275,cjr
chot1239,nct
chra1242,crw
chru1239,cje
chua1250,cjv
chua1256,cqd
chug1252,cvg
chuj1250,cac
chuj1251,cnm
chuk1270,cuw
chuk1273,ckt
chuk1274,cuh
chul1246,clw
chum1261,ncu
chum1264,chs
chur1257,chu
chur1258,cdj
chut1247,scb
chuu1238,chk
chuv1255,chv
chuv1256,xcv
chuw1238,chw
ciac1237,cia
ciba1236,ckl
cici1237,awc
cigb1235,cib
cimb1238,cim
cina1236,mkx
cind1241,cdr
cine1238,cie
cint1239,cin
cisa1237,xcg
cish1238,asg
cita1245,txt
ciwo1236,tgd
clal1241,clm
clas1249,xcl
clas1250,nci
clas1251,qwc
clas1252,syc
clas1253,myz
clas1254,xct
clel1238,dri
coah1252,xcw
coas1294,kzj
coas1295,kjc
coas1301,csi
coat1238,mco
coat1240,naz
coat1241,miz
coat1243,zps
coat1244,zca
coca1259,cod
coch1272,coj
coco1260,coa
coco1261,coc
coeu1236,crd
cofa1242,con
cogu1240,kog
coll1240,liw
colo1249,csn
colo1254,gct
colo1256,cof
colu1241,col
coma1245,com
coma1246,cco
come1251,xcm
comm1246,del
como1258,cfg
como1259,coo
cona1234,cno
cond1242,gih
cong1236,swc
coon1239,cnc
coos1249,csz
copa1236,zoc
copa1237,trc
copt1239,cop
coqu1236,coq
cori1240,cry
corn1251,cor
coro1247,qwa
coro1248,xxr
cors1241,cos
cost1249,csr
cota1241,mta
coto1248,xcn
cowl1242,cow
coxi1236,kox
coya1241,coy
coyo1236,pbf
coyu1235,toc
cree1270,mus
cree1272,cre
creo1235,gyn
crim1257,crh
croa1242,csq
croa1245,hrv
cros1244,mfn
crow1244,cro
cruz1243,crz
cuaa1241,cua
cuba1235,csf
cuba1236,cbq
cube1242,cub
cuib1242,cui
cuit1236,cuy
culi1244,cul
cuma1240,cuo
cuma1241,qwm
cume1234,cum
cune1239,xlu
cung1238,cnq
cunn1236,cuq
cupe1243,cup
curr1243,kpc
cusc1236,quz
cutc1238,ccl
cuvo1236,cuv
cuya1240,xtu
cuyo1237,cyo
cwib1235,bwy
cypr1248,acy
czec1253,cse
czec1258,ces
daai1236,dao
daak1235,kzf
daan1235,lni
daas1238,dsh
daat1234,dtn
daba1260,dbr
dabe1239,dbe
daci1234,xdc
dadi1249,dbd
dadi1250,mps
dadi1251,dda
daga1272,dgd
daga1275,dgz
dagb1246,dag
dagb1248,dgk
dagi1241,dec
dago1245,dgn
daha1245,dal
daha1247,dlk
daho1238,das
daii1240,dij
dair1239,drb
daiz1235,zhd
daka1243,bpa
dakk1238,dkk
dako1258,dak
dakp1242,dka
dale1238,qer
dalm1243,dlm
dalo1238,bev
dama1267,dmm
dama1268,dam
dama1272,uhn
dama1278,idb
damb1246,dac
dame1241,dml
damp1237,dms
dana1252,dnu
dana1254,dnr
dand1238,daq
dang1260,thl
dang1262,yrm
dang1274,daa
dani1246,dsl
dani1285,dan
dann1241,daf
dano1240,aso
dans1239,cxh
dans1240,gku
danu1251,dnv
daon1243,dnd
daoo1238,daz
dara1250,dry
dara1251,rbl
dara1255,dat
dard1243,djc
darf1239,daj
darg1241,dar
dari1249,prs
dark1243,drh
darl1242,dln
darl1243,drl
darm1243,drd
daro1239,dro
dars1235,dau
darw1234,drw
dass1243,dot
dato1239,tcc
daun1234,dgw
daur1238,dta
dava1245,daw
dawa1242,dww
dawe1237,ddw
dawi1234,dwk
dawr1236,dwr
daww1239,kwa
daya1245,yio
dayi1244,dax
dayy1236,dai
daza1242,dzg
daza1244,dzd
decc1239,dcc
dedu1240,ded
defa1248,afn
defi1235,gbh
dega1238,dgu
dege1246,deg
dege1247,dge
dege1248,ing
degg1238,mzw
dehu1237,dhv
dehw1238,deh
dekk1240,dek
dela1251,row
delo1240,ntr
dema1235,dmx
demi1242,dei
demm1245,dem
demt1241,dmy
dend1242,deq
dend1243,ddn
deng1250,dez
deng1253,dnk
deni1241,dny
deno1239,dbb
deny1238,anv
deor1238,der
dera1245,kbv
dera1248,kna
desa1247,des
desi1235,dso
dewo1238,dee
dezf1238,def
dghw1239,dgh
dhai1238,dhs
dhal1245,dhl
dhan1264,dhn
dhan1265,dwz
dhan1267,dha
dhan1270,dhg
dhao1237,nfa
dhar1247,dhr
dhar1248,xgm
dhat1238,mki
dhim1246,dhi
