,name,macroarea,latitude,longitude,glottocode,countries,family_id,lineage,level,category,aes
25905,Bolupi,Africa,2.86168,22.4936,bolu1241,,atla1278,,dialect,Dialect,
25906,Elowa,Africa,2.86168,22.4936,elow1238,,atla1278,,dialect,Dialect,
25907,Bokoy,Africa,2.86168,22.4936,boko1262,,atla1278,,dialect,Dialect,
25908,Binja,Africa,1.45357,20.14148,binj1250,,atla1278,,dialect,Dialect,
25909,Wiindza-Baali,Africa,1.45357,20.14148,wiin1238,,atla1278,,dialect,Dialect,
25910,Doko (Democratic Republic of Congo),Africa,1.45357,20.14148,doko1244,,atla1278,,dialect,Dialect,
25911,Middle Bomokandian,,2.429801666666666,26.034716666666668,midd1348,,atla1278,,family,Family,
25912,Komoic,,0.9350645633283028,29.218058969285966,komo1265,,atla1278,,family,Family,
25913,Ngbele-Ngenda,,4.185625833333333,26.953416666666666,ngbe1239,,atla1278,,family,Family,
25914,Bali (Democratic Republic of Congo),Africa,1.1807,26.5941,bali1274,CD,atla1278,,language,Spoken_L1_Language,1
25915,Beeke,Africa,3.18438,29.9842,beek1238,CD,atla1278,,language,Spoken_L1_Language,3
25916,Poko,Africa,2.04881,18.3667,poko1262,,atla1278,,dialect,Dialect,
25917,Tanda (Lobala),Africa,2.04881,18.3667,tand1252,,atla1278,,dialect,Dialect,
25918,South Lobala,Africa,2.04881,18.3667,sout2817,,atla1278,,dialect,Dialect,
25919,Likwala-Likuba,,-0.88456,16.53345,likw1240,,atla1278,,family,Family,
25920,Boloki,Africa,0.83463,18.4555,bolo1262,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/boba1248/boba1249,language,Spoken_L1_Language,3
25921,Bobangi-Bangala-Lingala,,-0.3804065,19.1322925,boba1250,,atla1278,,family,Family,
25922,Moi (Congo),Africa,-1.72413,16.4556,moic1236,CD;CG,atla1278,,language,Spoken_L1_Language,2
25923,Loi-Likila,Africa,0.93777,18.1266,balo1261,CD;CG,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/boba1248/boba1249,language,Spoken_L1_Language,1
25924,Litoka,Africa,2.69,19.24,lito1235,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/libi1251/libi1252,language,Spoken_L1_Language,
25925,Balobo,Africa,1.75106,19.0222,liki1240,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/libi1251/libi1252,language,Spoken_L1_Language,1
25926,Libinza,Africa,1.97729,18.8886,libi1244,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/libi1251/libi1252,language,Spoken_L1_Language,1
25927,Mabaale,Africa,2.11942,20.8759,maba1270,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/libi1251/libi1242,language,Spoken_L1_Language,1
