,name,macroarea,latitude,longitude,glottocode,countries,family_id,lineage,level,category,aes
0,Fulniô,South America,-9.02591,-37.1402,fuln1247,BR,,,language,Spoken_L1_Language,3
1,Dem,Papunesia,-3.72183,137.632,demm1245,ID,,,language,Spoken_L1_Language,3
2,Mixe-Zoque,,16.99190245384724,-94.20790659990188,mixe1284,,,,family,Family,
3,Mure,South America,-13.636709,-62.2020909,mure1235,BO,,,language,Spoken_L1_Language,6
4,North Halmahera,,0.7726235182356925,127.6567781247746,nort2923,,,,family,Family,
5,Tonkawa,North America,30.25,-96.75,tonk1249,US,,,language,Spoken_L1_Language,6
6,Otomaco-Taparita,South America,7.869912,-70.997315,otom1276,VE,,,family,Family,6
7,Klamath-Modoc,North America,42.5861,-121.704,klam1254,US,,,language,Spoken_L1_Language,6
8,Fasu,Papunesia,-6.62687,143.284,fasu1242,PG,,,language,Spoken_L1_Language,3
9,Chibchan,,12.511542059000078,-81.72370357999995,chib1249,,,,family,Family,
10,Nimboranic,,-2.578156875,140.2446875,nimb1257,,,,family,Family,
11,Atakapa,North America,30.9121,-93.0827,atak1252,US,,,language,Spoken_L1_Language,6
12,Natchez,North America,31.75,-91.33,natc1249,US,,,language,Spoken_L1_Language,6
13,Turkic,,49.91702596265687,60.68987607174649,turk1311,,,,family,Family,
14,Mombum-Koneraw,,-8.322825,138.42025,momb1255,,,,family,Family,
15,Saharan,,15.684947833333332,19.429382666666665,saha1256,,,,family,Family,
16,Camsá,South America,1.14537,-76.8931,cams1241,CO,,,language,Spoken_L1_Language,3
17,Surmic,,6.881998770833333,34.97338345833333,surm1244,,,,family,Family,
18,Fuyug,Papunesia,-8.6371,147.312,fuyu1242,PG,,goil1242,language,Spoken_L1_Language,1
19,Mimi-Gaudefroy,Africa,13.827507,21.11324,mimi1240,TD,,,language,Spoken_L1_Language,6
20,Atacame,South America,0.834931,-79.778137,atac1235,EC,,,language,Spoken_L1_Language,6
21,Amto-Musan,,-4.087384999999999,141.3795,amto1249,,,,family,Family,
22,Ijoid,,4.703427765911557,6.938100510545368,ijoi1239,,,,family,Family,
23,Muniche,South America,-5.7441796,-76.426712,muni1258,PE,,,language,Spoken_L1_Language,6
24,Trumai,South America,-11.8119,-53.5717,trum1247,BR,,,language,Spoken_L1_Language,5
25,Comecrudan,North America,26.1333,-98.4667,come1251,MX,,,language,Spoken_L1_Language,6
26,Anim,,-7.667817181958041,142.3908094618604,anim1240,,,,family,Family,
27,Wakashan,,50.91264921400655,-126.7970498950268,waka1280,,,,family,Family,
28,Koman,,9.2346805,34.10874325,koma1264,,,,family,Family,
29,Katla-Tima,,11.691677,29.29042325,katl1246,,,,family,Family,
30,Tangkic,,-16.827569268999923,139.15805097700002,tang1340,,,,family,Family,
31,Minkin,Australia,-17.736653,139.541931,mink1237,AU,,,language,Spoken_L1_Language,6
32,Taruma,South America,1.666,-58.653,taru1236,BR;GY,,,language,Spoken_L1_Language,5
33,Zaparoan,,-2.8666875000000003,-75.174295,zapa1251,,,,family,Family,
34,Bunaban,,-18.1185,125.991,buna1274,,,,family,Family,
35,Guahiboan,,4.60511875,-71.21545624999999,guah1252,,,,family,Family,
36,Doso-Turumsa,,-7.89522,142.61200000000002,doso1238,,,,family,Family,
37,Nihali,Eurasia,21.1886,76.3318,niha1238,IN,,,language,Spoken_L1_Language,3
38,Bookkeeping,,,,book1242,,,,family,Pseudo_Family,
39,Lule,South America,-25.221839,-61.887818,lule1238,AR,,,language,Spoken_L1_Language,6
40,Ainu,,46.374701239000046,143.62574303500003,ainu1252,,,,family,Family,
41,Kadugli-Krongo,,11.095941666666668,29.483575,kadu1256,,,,family,Family,
42,Cofán,South America,0.276675,-77.0643,cofa1242,CO;EC,,,language,Spoken_L1_Language,2
43,Chicham,,-4.361705000000001,-77.8664,jiva1245,,,,family,Family,
44,Huavean,,16.268133856000077,-94.77989661399994,huav1256,,,,family,Family,
45,Bororoan,,-15.764624999999995,-57.43435,boro1281,,,,family,Family,
46,Mato Grosso Arára,South America,-9.172609,-60.628867,mato1253,BR,,,language,Spoken_L1_Language,6
47,Songhay,,16.661174876606953,-0.406644830649276,song1307,,,,family,Family,
48,Shabo,Africa,7.64407,35.223,shab1252,ET,,,language,Spoken_L1_Language,4
49,Yámana,South America,-55.2748,-68.2648,yama1264,CL,,,language,Spoken_L1_Language,6
50,Tupian,,-8.998426385618503,-58.43139197008457,tupi1275,,,,family,Family,
51,Massep,Papunesia,-1.74679,138.294,mass1263,ID,,,language,Spoken_L1_Language,4
52,Cuitlatec,North America,18.1,-100.5,cuit1236,MX,,,language,Spoken_L1_Language,6
53,Left May,,-4.360486666666667,141.64266666666668,left1242,,,,family,Family,
54,Yangmanic,,-15.2253,132.501,yang1287,,,,family,Family,
55,Cariban,,-1.2804284901606835,-59.05588241653585,cari1283,,,,family,Family,
56,Eastern Jebel,,11.2224,33.92346666666667,east2386,,,,family,Family,
57,Tuxá,South America,-8.953642,-38.2742287,tuxa1239,BR,,,language,Spoken_L1_Language,6
58,Narrow Talodi,,10.821325000000002,30.283908333333333,narr1279,,,,family,Family,
59,Sandawe,Africa,-5.26918,35.4808,sand1273,TZ,,,language,Spoken_L1_Language,2
60,Mor (Bomberai Peninsula),Papunesia,-2.85747,132.845,morb1239,ID,,,language,Spoken_L1_Language,4
61,Purari,Papunesia,-7.59133,145.036,pura1257,PG,,,language,Spoken_L1_Language,3
62,Laragia,Australia,-12.4111,130.922,lara1258,AU,,,language,Spoken_L1_Language,5
63,Umbugarla,Australia,-12.9325,131.825,umbu1235,AU,,,language,Spoken_L1_Language,6
64,Etruscan,Eurasia,41.9,12.4833,etru1241,IT,,,language,Spoken_L1_Language,6
65,Kunimaipan,,-7.747233333333335,146.86333333333334,kuni1270,,,,family,Family,
66,Shom Peng,Eurasia,7.02099,93.8064,shom1245,IN,,,language,Spoken_L1_Language,3
67,Shastan,,41.281879333333336,-122.998216,shas1238,,,,family,Family,
68,Kusunda,Eurasia,28.33,82.6,kusu1250,NP,,,language,Spoken_L1_Language,5
69,Tabo,Papunesia,-8.09387,143.305,tabo1241,PG,,,language,Spoken_L1_Language,3
70,Candoshi-Shapra,South America,-4.23835,-76.9347,cand1248,PE,,,language,Spoken_L1_Language,2
71,Indo-European,,41.89549401377856,33.32588577097074,indo1319,,,,family,Family,
72,Xincan,,14.147763166666667,-90.26992333333334,xinc1237,,,,family,Family,
73,Duna,Papunesia,-5.41439,142.475,duna1248,PG,,,language,Spoken_L1_Language,1
74,Kenaboi,Eurasia,3.154162,102.01596,kena1236,MY,,,language,Spoken_L1_Language,6
75,Mayan,,17.423987813269193,-92.8442033793036,maya1287,,,,family,Family,
76,Papi,Papunesia,-4.4725,142.011,papi1255,PG,,,language,Spoken_L1_Language,4
77,Zuni,North America,35.0056,-108.782,zuni1245,US,,,language,Spoken_L1_Language,3
78,Limilngan-Wulna,,-12.3658,131.553,limi1242,,,,family,Family,
79,Puinave,South America,3.92974,-67.6886,puin1248,CO;VE,,,language,Spoken_L1_Language,3
80,Karami,Papunesia,-7.13333,143.117,kara1497,PG,,,language,Spoken_L1_Language,6
81,Chimariko,North America,41.0,-123.0,chim1301,US,,,language,Spoken_L1_Language,6
82,Kru,,6.093338539277438,-7.397532660501622,krua1234,,,,family,Family,
83,Peba-Yagua,,-3.63123,-72.52597499999999,peba1241,,,,family,Family,
84,Kuot,Papunesia,-3.06952,151.537,kuot1243,PG,,,language,Spoken_L1_Language,3
85,East Kutubu,,-6.568,143.57049999999998,east2499,,,,family,Family,
86,Kayagaric,,-6.391039999999999,138.789,kaya1327,,,,family,Family,
87,Uru-Chipaya,,-17.73249,-68.43376,uruc1242,,,,family,Family,
88,Jarrakan,,-16.74745,128.20725,jarr1235,,,,family,Family,
89,Yuchi,North America,35.75,-86.75,yuch1247,US,,,language,Spoken_L1_Language,5
90,Kaki Ae,Papunesia,-7.9946,145.816,kaki1249,PG,,,language,Spoken_L1_Language,3
91,Ndu,,-3.987147716049384,143.00016049382717,nduu1242,,,,family,Family,
92,Páez,South America,2.61516,-76.31254,paez1247,CO,,,language,Spoken_L1_Language,2
93,Chiquitano,,-16.719575,-61.389328,chiq1253,,,,family,Family,
94,Betoi-Jirara,South America,7.223906,-71.420238,beto1236,VE,,,language,Spoken_L1_Language,6
95,Kapori,Papunesia,-3.52696,139.766,kapo1250,ID,,,language,Spoken_L1_Language,2
96,Yuat,,-4.438971666666667,143.77158333333335,yuat1252,,,,family,Family,
97,Usku,Papunesia,-3.63853,140.502,usku1243,ID,,,language,Spoken_L1_Language,3
98,Tambora,Papunesia,-8.25,118.0,tamb1257,ID,,,language,Spoken_L1_Language,6
99,Tiwi,Australia,-11.6308,130.949,tiwi1244,AU,,,language,Spoken_L1_Language,3
100,Leco,South America,-15.0092,-67.8818,leco1242,BO,,,language,Spoken_L1_Language,6
101,Guaicuruan,,-23.6717125,-59.22491875,guai1249,,,,family,Family,
102,Nuclear Torricelli,,-3.6257096809643303,142.71078253527514,nucl1708,,,,family,Family,
103,Guató,South America,-17.8696,-57.2897,guat1253,BR,,,language,Spoken_L1_Language,5
104,Kawesqar,,-53.13787542732205,-71.48655707324455,kawe1237,,,,family,Family,
105,Yokutsan,,35.629746,-119.1574505,yoku1255,,,,family,Family,
106,Burushaski,Eurasia,36.2161,74.8236,buru1296,IN;PK,,,language,Spoken_L1_Language,3
107,Culli,South America,-7.878618,-78.116456,cull1235,PE,,,language,Spoken_L1_Language,6
108,Aymaran,,-14.90046725,-72.6417635,ayma1253,,,,family,Family,
109,Western Tasmanian,,-41.638907,145.98135050000002,west1503,,,,family,Family,
110,Nara,Africa,15.3251,37.499,nara1262,ER,,,language,Spoken_L1_Language,1
111,Marori,Papunesia,-8.5692,140.688,moro1289,ID,,,language,Spoken_L1_Language,3
112,Sumerian,Eurasia,31.3,45.6667,sume1241,IQ,,,language,Spoken_L1_Language,6
113,Afro-Asiatic,,18.81033771717115,24.746206531645274,afro1255,,,,family,Family,
114,Esselen,North America,36.5473,-121.867,esse1238,US,,,language,Spoken_L1_Language,6
115,Mpur,Papunesia,-0.7489,133.166,mpur1239,ID,,,language,Spoken_L1_Language,3
116,Dogon,,14.564677622038706,-3.159974204325801,dogo1299,,,,family,Family,
117,Itonama,South America,-12.80431,-64.35748,iton1250,BO,,,language,Spoken_L1_Language,5
118,Máku,South America,3.969231,-64.235892,maku1246,BR,,,language,Spoken_L1_Language,6
119,Kalapuyan,,44.62703333333334,-123.44866666666664,kala1402,,,,family,Family,
120,Mande,,10.01670525190285,-5.440358521362192,mand1469,,,,family,Family,
121,Chapacuran,,-12.626,-63.21027541666667,chap1271,,,,family,Family,
122,Kwalean,,-9.692325,147.53725,kwal1257,,,,family,Family,
123,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,PG,,,language,Spoken_L1_Language,3
124,Timor-Alor-Pantar,,-8.64968469430337,125.60062220122522,timo1261,,,,family,Family,
125,Pauwasi,,-3.6899825,140.87575,pauw1244,,,,family,Family,
126,Matanawí,South America,-4.8509511,-58.988617,mata1275,BR,,,language,Spoken_L1_Language,6
127,Miwok-Costanoan,,37.8084578163565,-122.01508924133746,miwo1274,,,,family,Family,
128,Sahaptian,,45.95661249999999,-118.1005,saha1239,,,,family,Family,
129,Hadza,Africa,-3.83115,35.0458,hadz1240,TZ,,,language,Spoken_L1_Language,3
130,Molof,Papunesia,-3.41946,140.557,molo1262,ID,,,language,Spoken_L1_Language,3
131,Wintuan,,39.46595,-122.2272,wint1258,,,,family,Family,
132,Mochica,South America,-8.01667,-79.0,moch1259,PE,,,language,Spoken_L1_Language,6
133,Great Andamanese,,12.700505,92.82680291666668,grea1241,,,,family,Family,
134,Speech Register,,,,spee1234,,,,family,Pseudo_Family,
135,Siuslaw,North America,42.5111,-124.379,sius1254,US,,,language,Spoken_L1_Language,6
136,Tunica,North America,30.9888,-92.5403,tuni1252,US,,,language,Spoken_L1_Language,6
137,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kolp1236,PG;VU,,,language,Spoken_L1_Language,3
138,Worrorran,,-15.649060492687456,125.79293781884348,worr1236,,,,family,Family,
139,Central Sudanic,,4.293051212935224,27.94992110243821,cent2225,,,,family,Family,
140,Pyu,Papunesia,-4.45003,141.018,pyuu1245,ID;PG,,,language,Spoken_L1_Language,3
141,Sechuran,South America,-5.568969,-80.828247,sech1236,PE,,,language,Spoken_L1_Language,6
142,Lower Sepik-Ramu,,-4.445742134541927,144.14841378104717,lowe1437,,,,family,Family,
143,Baining,,-4.675368515009208,151.90440435171925,bain1263,,,,family,Family,
144,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,SB,,,language,Spoken_L1_Language,3
145,Walioic,,-4.603506666666667,142.14866666666666,wali1264,,,,family,Family,
146,Tor-Orya,,-2.4895268439018823,139.4977789688835,toro1256,,,,family,Family,
147,Jirajaran,South America,10.57,-69.7,jira1235,VE,,,language,Spoken_L1_Language,6
148,Pumé,South America,7.10677,-67.5996,pume1238,CO;VE,,,language,Spoken_L1_Language,3
149,Timucua,North America,30.3027,-82.3132,timu1245,US,,,language,Spoken_L1_Language,6
150,Canichana,South America,-14.3058,-64.944455,cani1243,BO,,,language,Spoken_L1_Language,6
151,Sulka,Papunesia,-5.03471,151.891,sulk1246,PG,,,language,Spoken_L1_Language,3
152,Pama-Nyungan,,-24.951843928328348,137.83886541358615,pama1250,,,,family,Family,
153,Hmong-Mien,,24.779654152664104,109.70854906557577,hmon1336,,,,family,Family,
154,Uto-Aztecan,,31.148976000870444,-111.21451764274592,utoa1244,,,,family,Family,
155,Somahai,,-4.928155,139.5405,soma1242,,,,family,Family,
156,Maybrat-Karon,Papunesia,-1.3679,132.591,maib1239,ID,,,language,Spoken_L1_Language,1
157,Aewa,South America,-1.284096,-75.084405,abis1238,PE,,,language,Spoken_L1_Language,6
158,Lencan,,13.61395,-87.806397,lenc1239,,,,family,Family,
159,Chumashan,,34.845596247000024,-120.25669239549995,chum1262,,,,family,Family,
160,Chinookan,,47.103750000000005,-122.384,chin1490,,,,family,Family,
161,Tungusic,,49.22572248573526,127.52378684964415,tung1282,,,,family,Family,
162,Arafundi,,-4.7969120790048985,143.64276554482308,araf1243,,,,family,Family,
163,Blue Nile Mao,,9.84959375,34.7665975,maoo1243,,,,family,Family,
164,Garrwan,Australia,-18.05165,137.66406999999998,garr1260,AU,,,family,Family,6
165,Salishan,,49.571995669173376,-123.13070217196426,sali1255,,,,family,Family,
166,Kamula-Elevala,,-6.73238,142.11700000000002,kamu1264,,,,family,Family,
167,Giimbiyu,,-12.559675,132.95925,giim1238,,,,family,Family,
168,South Bird's Head Family,,-1.9881592680174576,132.45554426615345,sout1516,,,,family,Family,
169,South Bougainville,,-6.5046703125,155.53662500000002,sout2948,,,,family,Family,
170,Khoe-Kwadi,,-19.716056708333333,16.6735793125,khoe1240,,,,family,Family,
171,Eskimo-Aleut,,58.73083948753617,-72.76781483042555,eski1264,,,,family,Family,
172,Tinigua,South America,2.716,-73.768,tini1245,CO,,,language,Spoken_L1_Language,5
173,Kibiri,Papunesia,-7.45276,144.296,kibi1239,PG,,,language,Spoken_L1_Language,3
174,Kolopom,,-7.8493775,138.21925,kolo1268,,,,family,Family,
175,Japonic,,32.72064850500004,133.02800540500004,japo1237,,,,family,Family,
176,Arawakan,,-3.1102292773127544,-63.45763454743985,araw1281,,,,family,Family,
177,Algic,,42.61785268055577,-115.5557576396946,algi1248,,,,family,Family,
178,Mirndi,,-16.53545,133.23866666666666,mirn1241,,,,family,Family,
179,Oyster Bay-Big River-Little Swanport,Australia,-42.307378,147.50061,oyst1235,AU,,,language,Spoken_L1_Language,6
180,Temeinic,,11.608,29.48505,teme1251,,,,family,Family,
181,Chitimacha,North America,30.3386,-90.9123,chit1248,US,,,language,Spoken_L1_Language,6
182,Caddoan,,34.4907625,-95.66413125,cadd1255,,,,family,Family,
183,Wiru,Papunesia,-6.35863,144.214,wiru1244,PG,,,language,Spoken_L1_Language,2
184,Berta,Africa,10.6474,34.7042,bert1248,ET;SD,,,language,Spoken_L1_Language,3
185,Adai,North America,31.6314,-92.0059,adai1235,US,,,language,Spoken_L1_Language,6
186,Yuracaré,South America,-16.7479,-65.1224,yura1255,BO,,,language,Spoken_L1_Language,3
187,North Bougainville,,-5.94726,154.98816666666667,nort2933,,,,family,Family,
188,Kamakanan,,-16.146914083333332,-41.00887381666666,kama1371,,,,family,Family,
189,Basque,Eurasia,43.2787,-1.31622,basq1248,ES;FR,,,language,Spoken_L1_Language,2
190,Meroitic,Africa,16.9333,33.7333,mero1237,SD,,,language,Spoken_L1_Language,6
191,Wadjiginy,Australia,-12.8596,130.737,wadj1254,AU,,,language,Spoken_L1_Language,4
192,Mailuan,,-10.165864153474685,148.98817241686146,mail1249,,,,family,Family,
193,Matacoan,,-23.2972875,-61.1590125,mata1289,,,,family,Family,
194,Maiduan,,39.37643333333333,-120.802,maid1262,,,,family,Family,
195,Huitotoan,,-1.4693629999999998,-71.99425116666667,huit1251,,,,family,Family,
196,Wageman,Australia,-13.8627,131.893,wage1238,AU,,,language,Spoken_L1_Language,4
197,Sko,,-2.844848708333333,141.46114733333332,skoo1245,,,,family,Family,
198,North-Eastern Tasmanian,,-41.442114,147.497801,nort1442,,,,family,Family,
199,Abinomn,Papunesia,-2.92281,138.891,abin1243,ID,,,language,Spoken_L1_Language,5
200,Siouan,,38.82881041666667,-88.14263425,siou1252,,,,family,Family,
201,Arutani,South America,4.0673594,-62.8676118,arut1244,BR;VE,,,language,Spoken_L1_Language,5
202,Kxa,,-21.94645887834424,21.840852681303208,kxaa1236,,,,family,Family,
203,Cayuse,North America,46.1136,-117.94,cayu1241,US,,,language,Spoken_L1_Language,6
204,Elseng,Papunesia,-3.00176,140.418,else1239,ID,,,language,Spoken_L1_Language,3
205,Sign Language,,,,sign1238,,,,family,Pseudo_Family,
206,Iwaidjan Proper,,-11.674183333333332,132.85716666666667,iwai1246,,,,family,Family,
207,Cayubaba,South America,-13.2482,-65.4822,cayu1262,BO,,,language,Spoken_L1_Language,6
208,Yale,Papunesia,-3.79762,141.566,yale1246,PG,,,language,Spoken_L1_Language,3
209,Irántxe-Münkü,South America,-12.7178,-57.9806,iran1263,BR,,,language,Spoken_L1_Language,4
210,Taiap,Papunesia,-4.05047,144.506,taia1239,PG,,,language,Spoken_L1_Language,4
211,Asabano,Papunesia,-4.95072,141.978,suar1238,PG,,,language,Spoken_L1_Language,3
212,Suki-Gogodala,,-8.06909625,142.24824999999998,suki1244,,,,family,Family,
213,Pomoan,,38.97407375000001,-122.65441375,pomo1273,,,,family,Family,
214,Touo,Papunesia,-8.58405,157.296,touo1238,PG;SB,,,language,Spoken_L1_Language,3
215,Kariri,South America,-7.434628,-40.487275,kari1254,BR,,,language,Spoken_L1_Language,6
216,Yeniseian,,59.345725,90.948625,yeni1252,,,,family,Family,
217,Koreanic,,35.46025,126.7677,kore1284,,,,family,Family,
218,Barbacoan,,0.725735,-78.13742566666667,barb1265,,,,family,Family,
219,Senagi,,-3.619894999999999,141.073,sena1264,,,,family,Family,
220,Sause,Papunesia,-3.16632,139.627,saus1247,ID,,,language,Spoken_L1_Language,3
221,Pawaia,Papunesia,-6.88021,145.081,pawa1255,PG,,,language,Spoken_L1_Language,3
222,Mixed Language,,,,mixe1287,,,,family,Pseudo_Family,
223,Pirahã,South America,-6.77713,-61.8167,pira1253,BR,,,language,Spoken_L1_Language,2
224,Border,,-3.0810752942057174,141.03152043306235,bord1247,,,,family,Family,
225,Hurro-Urartian,,39.61695,43.32895,hurr1239,,,,family,Family,
226,Bangime,Africa,14.8116,-3.77092,bang1363,ML,,,language,Spoken_L1_Language,3
227,Bogia,,-4.313245,144.97,monu1249,,,,family,Family,
228,Huarpean,,-32.639114,-67.8332525,huar1251,,,,family,Family,
229,Keram,,-4.32384375,144.07700000000003,kera1258,,,,family,Family,
230,Bogaya,Papunesia,-5.54487,142.255,boga1247,PG,,,language,Spoken_L1_Language,3
231,Kehu,Papunesia,-3.19328,136.14,kehu1238,ID,,,language,Spoken_L1_Language,4
232,Coahuilteco,North America,28.2589,-97.89,coah1252,MX,,,language,Spoken_L1_Language,6
233,East Bird's Head,,-1.4485975,133.66575,east1459,,,,family,Family,
234,Guaicurian,North America,24.1666666667,-110.3,guai1237,MX,,,language,Spoken_L1_Language,6
235,Hattic,Eurasia,40.4,34.6,hatt1246,TR,,,language,Spoken_L1_Language,6
236,Mosetén-Chimané,South America,-14.64448,-67.83756,mose1249,BO,,,language,Spoken_L1_Language,2
237,Athabaskan-Eyak-Tlingit,,57.82099850426536,-134.9693375603793,atha1245,,,,family,Family,
238,Kresh-Aja,,8.8984925,25.2061,kres1240,,,,family,Family,
239,Takelma,North America,42.423,-123.452,take1257,US,,,language,Spoken_L1_Language,6
240,Kakua-Nukak,,1.7735850000000002,-70.5144,kaku1242,,,,family,Family,
241,Tucanoan,,0.1327077361111111,-71.5222265324074,tuca1253,,,,family,Family,
242,Damal,Papunesia,-4.17345,137.496,dama1272,ID,,,language,Spoken_L1_Language,3
243,Bayono-Awbono,,-5.138014999999999,139.6705,bayo1259,,,,family,Family,
244,Otomanguean,,17.108063880064172,-95.903082972944,otom1299,,,,family,Family,
245,Cahuapanan,,-5.520405,-76.61775,cahu1265,,,,family,Family,
246,Piawi,,-5.110729999999999,144.23725000000002,piaw1238,,,,family,Family,
247,Salinan,North America,37.6646,-121.718,sali1253,US,,,language,Spoken_L1_Language,6
248,Seri,North America,28.9877,-112.384,seri1257,MX,,,language,Spoken_L1_Language,3
249,Eastern Trans-Fly,,-9.06340911299992,143.1562606130001,east2503,,,,family,Family,
250,Eleman,,-7.890075833333332,145.7355,nucl1580,,,,family,Family,
251,East Strickland,,-6.054617392499219,142.2612639810095,east2433,,,,family,Family,
252,Gunwinyguan,,-13.163844167899502,133.84418283948492,gunw1250,,,,family,Family,
253,Heibanic,,10.948239444444445,30.91753805555556,heib1242,,,,family,Family,
254,Kwomtari-Nai,,-3.61876,141.38049999999998,kwom1263,,,,family,Family,
255,Movima,South America,-13.8115,-65.6348,movi1243,BO,,,language,Spoken_L1_Language,3
256,Maratino,North America,24.339089,-98.576661,mara1266,MX,,,language,Spoken_L1_Language,6
257,Yukaghir,,67.74792900000001,160.65967500000002,yuka1259,,,,family,Family,
258,Guriaso,Papunesia,-3.5718,141.597,guri1248,PG,,,language,Spoken_L1_Language,3
259,Pidgin,,,,pidg1258,,,,family,Pseudo_Family,
260,Molale,North America,44.556,-122.857,mola1238,US,,,language,Spoken_L1_Language,6
261,Sapé,South America,4.0735661,-62.9666521,sape1238,VE,,,language,Spoken_L1_Language,6
262,Chonan,,-49.866789,-68.12787225,chon1288,,,,family,Family,
263,Siamou,Africa,10.998,-4.92143,siam1242,BF;CI;ML,,,language,Spoken_L1_Language,1
264,Pankararú,South America,-8.99999,-37.0167,pank1250,BR,,,language,Spoken_L1_Language,6
265,Kaure-Kosare,,-3.58968,140.1685,kaur1274,,,,family,Family,
266,South Omotic,,5.90174625,36.40803875,sout2845,,,,family,Family,
267,Geelvink Bay,,-2.487585669600993,136.88621790561166,geel1240,,,,family,Family,
268,Kiwaian,,-7.957872170863979,143.85166860272818,kiwa1251,,,,family,Family,
269,Baibai-Fas,,-3.2677,141.4925,baib1250,,,,family,Family,
270,Katukinan,,-6.852069999999999,-66.79984999999999,katu1274,,,,family,Family,
271,Southern Daly,,-14.50826,130.46926,sout2772,,,,family,Family,
272,Pano-Tacanan,,-9.775506590890894,-69.0242276211961,pano1259,,,,family,Family,
273,Nubian,,17.908792074263246,29.90375360897506,nubi1251,,,,family,Family,
274,Yanomamic,,2.924275916666667,-63.23826458333334,yano1268,,,,family,Family,
275,Andoque,South America,-0.53751,-72.0869,ando1256,CO,,,language,Spoken_L1_Language,5
276,Nivkh,,52.1857,141.9219,nivk1234,,,,family,Family,
277,Guamo,South America,8.2351027,-67.4018753,guam1236,VE,,,language,Spoken_L1_Language,6
278,Bulaka River,,-7.71737,139.24349999999998,bula1259,,,,family,Family,
279,Unclassifiable,,,,uncl1493,,,,family,Pseudo_Family,
280,West Bomberai,,-3.231866143999923,132.60222415500004,west2604,,,,family,Family,
281,Harakmbut,,-12.906305,-70.890395,hara1260,,,,family,Family,
282,Payagua,South America,-20.212233,-58.158622,paya1236,PY,,,language,Spoken_L1_Language,6
283,Yele,Papunesia,-11.3796,154.127,yele1255,PG,,,language,Spoken_L1_Language,3
284,Maningrida,,-12.268238636312484,134.22255756716663,mani1293,,,,family,Family,
285,Timote-Cuica,South America,8.848165,-70.975342,timo1237,VE,,,language,Spoken_L1_Language,6
286,Yareban,,-9.526500833333332,148.41375,yare1250,,,,family,Family,
287,Nuclear Trans New Guinea,,-5.620141576195564,142.83349266568874,nucl1709,,,,family,Family,
288,Austronesian,,18.12555332428153,121.33504738058596,aust1307,,,,family,Family,
289,Koiarian,,-9.178350833333331,147.78007916666667,koia1260,,,,family,Family,
290,Tallán,South America,-5.330824,-80.651093,tall1235,PE,,,language,Spoken_L1_Language,6
291,Manubaran,,-9.748345,148.1445,manu1261,,,,family,Family,
292,Beothuk,North America,48.0,-57.0,beot1247,CA,,,language,Spoken_L1_Language,6
293,Urarina,South America,-4.44006,-75.4211,urar1246,PE,,,language,Spoken_L1_Language,3
294,Eastern Daly,,-13.7436,130.849,east2374,,,,family,Family,
295,Tarascan,,19.39295,-101.8925,tara1323,,,,family,Family,
296,Yawa-Saweru,,-1.843345,136.27949999999998,yawa1259,,,,family,Family,
297,Namla-Tofanma,,-3.66161,140.6255,naml1239,,,,family,Family,
298,Yam,,-8.585425600960907,141.11212050426113,more1255,,,,family,Family,
299,Teberan,,-6.76043,144.4845,tebe1251,,,,family,Family,
300,Hatam-Mansim,,-1.025182,134.024058,hata1242,,,,family,Family,
301,Uralic,,59.06037711558321,44.77233536044734,ural1272,,,,family,Family,
302,Waorani,South America,-1.12312,-76.683,waor1240,EC,,,language,Spoken_L1_Language,3
303,Sepik,,-4.051444534429929,142.19487024611354,sepi1257,,,,family,Family,
304,Western Daly,,-13.782544587526791,130.15187409923834,west2434,,,,family,Family,
305,Maban,,13.081883833333332,20.870880916666664,maba1274,,,,family,Family,
306,Tanahmerah,Papunesia,-2.5523,133.18,tana1288,ID,,,language,Spoken_L1_Language,3
307,Haida,North America,53.63306599999999,-132.0436285,haid1248,CA,,,family,Family,
308,Greater Kwerba,,-1.969927836083572,138.42556460133818,kwer1242,,,,family,Family,
309,Karok,North America,41.8228,-123.315,karo1304,US,,,language,Spoken_L1_Language,4
310,Odiai,Papunesia,-3.82276,141.336,odia1239,PG,,,language,Spoken_L1_Language,3
311,Naduhup,,-0.5473300000000001,-67.43222499999999,nada1235,,,,family,Family,
312,Lepki-Murkim-Kembra,,-4.0240100000000005,140.60366666666667,lepk1239,,,,family,Family,
313,Jalaa,Africa,9.59433,11.5853,cent2045,NG,,,language,Spoken_L1_Language,6
314,Yuki-Wappo,,39.04445,-122.898,yuki1242,,,,family,Family,
315,Nilotic,,3.0381395153538517,33.47151992925147,nilo1247,,,,family,Family,
316,Dizoid,,6.690913333333333,35.74673333333334,dizo1235,,,,family,Family,
317,Inanwatan,,-1.520928643999923,131.62875410200002,inan1242,,,,family,Family,
318,Totonacan,,20.474722916666664,-97.66139791666669,toto1251,,,,family,Family,
319,Atlantic-Congo,,9.287213513888156,-8.223301099267937,atla1278,,,,family,Family,
320,Quechuan,,-10.37714086226852,-76.4638177507716,quec1387,,,,family,Family,
321,Taushiro,South America,-3.22497,-75.5603,taus1253,PE,,,language,Spoken_L1_Language,5
322,Misumalpan,,14.308199,-84.901933375,misu1242,,,,family,Family,
323,Warao,South America,7.50851,-59.3528,wara1303,GY;SR;VE,,,language,Spoken_L1_Language,2
